sku_id,sku_name,average_units_sold,demand_stddev,CV
SKU0072,"BrandF Detergent",37.1538,13.544465332237225,0.3645509799299451
SKU0095,"BrandE Soap",31.2365,11.412658416309226,0.3653625589406136
SKU0064,"BrandD Cheese",90.4219,33.06991450906814,0.3657289660598452
SKU0060,"BrandF Milk",58.2190,21.364908100719738,0.3669747622438989
SKU0070,"BrandD Detergent",100.6068,36.95933678157839,0.36736435523796557
SKU0050,"BrandB Yogurt",17.1242,6.306690560242165,0.36829108653206594
SKU0051,"BrandC Yogurt",69.3307,25.668533140419093,0.37023331601595644
SKU0078,"BrandF Softener",29.7131,11.019847636793275,0.3708745503717763
SKU0092,"BrandB Soap",90.9023,33.829843862056386,0.37215615171051303
SKU0083,"BrandE Cleaner",85.5897,32.02165982734898,0.374129715256332
SKU0058,"BrandD Milk",89.7020,33.617206356772115,0.3747656096175779
SKU0075,"BrandC Softener",32.7161,12.265935571603086,0.3749207782206244
SKU0062,"BrandB Cheese",17.0700,6.40113014406069,0.3749939816878076
SKU0081,"BrandC Cleaner",68.4993,25.71587673316886,0.3754178736537705
SKU0055,"BrandA Milk",13.8896,5.225907039412486,0.3762467522140637
SKU0100,"BrandD Toothpaste",84.0506,31.635174878637354,0.37638252772557074
SKU0094,"BrandD Soap",60.7175,22.88274111093858,0.37687223085502103
SKU0053,"BrandE Yogurt",31.0301,11.713699712964607,0.37749429589207184
SKU0088,"BrandD Shampoo",23.0218,8.704885718405988,0.37811569717375515
SKU0059,"BrandE Milk",23.9654,9.06341509012761,0.37818734283386496
SKU0052,"BrandD Yogurt",55.0918,20.840351067508074,0.3782838667461236
SKU0067,"BrandA Detergent",39.4584,14.929350734995214,0.37835626299122616
SKU0082,"BrandD Cleaner",57.3078,21.973308507702512,0.3834263898515879
SKU0093,"BrandC Soap",67.6060,25.973583157516828,0.38419049576269
SKU0047,"BrandE Nuts",64.7540,25.11954124433041,0.38792241799345595
SKU0038,"BrandB Biscuits",82.4586,32.00486500332325,0.3881324658812389
SKU0096,"BrandF Soap",90.3569,35.48714932495983,0.39274435415370684
SKU0057,"BrandC Milk",83.2490,32.697803381518106,0.3927712542212511
SKU0097,"BrandA Toothpaste",64.8334,25.556503688208053,0.39418725485100453
SKU0030,"BrandF Chips",38.9337,15.394056450181317,0.3953915757266269
SKU0061,"BrandA Cheese",88.8537,35.152029404454595,0.39561695175833783
SKU0087,"BrandC Shampoo",27.5243,10.897730118587498,0.39593156660400536
SKU0076,"BrandD Softener",28.6991,11.365403946983564,0.39601913482703854
SKU0044,"BrandB Nuts",68.6561,27.337537290873453,0.3981810372150477
SKU0090,"BrandF Shampoo",19.1822,7.67192311800091,0.3999502875370017
SKU0084,"BrandF Cleaner",22.8494,9.143307229502927,0.4001552773289236
SKU0089,"BrandE Shampoo",40.3756,16.211090655364373,0.4015069511138685
SKU0042,"BrandF Biscuits",12.9743,5.211955767730942,0.40171454342338375
SKU0073,"BrandA Softener",9.5550,3.8723861739316376,0.40527282613535437
SKU0071,"BrandE Detergent",29.4003,11.940907263252026,0.4061491029176534
SKU0039,"BrandC Biscuits",13.8060,5.69354036229487,0.4123948478752434
SKU0049,"BrandA Yogurt",45.4197,18.80333080206794,0.4139901975428034
SKU0028,"BrandD Chips",95.4267,39.62284946458934,0.4152175894774408
SKU0037,"BrandA Biscuits",84.2471,35.11819183892727,0.4168476172619255
SKU0025,"BrandA Chips",24.0361,10.045927287066508,0.41795138136032395
SKU0026,"BrandB Chips",81.6428,34.28601444475157,0.4199513172657377
SKU0018,"BrandF Water",97.3875,40.95452094666175,0.4205317542973858
SKU0021,"BrandC Energy drink",64.5251,27.169477078867143,0.4210682527984618
SKU0007,"BrandA Juice",31.0058,13.168471539901349,0.4247105806404399
SKU0004,"BrandD Soda",100.3605,43.176118628138326,0.4302100727050622
SKU0022,"BrandD Energy drink",103.7795,45.111991945682576,0.4346907696885737
SKU0033,"BrandC Chocolate",69.8202,30.77258897022006,0.44074059681798244
SKU0035,"BrandE Chocolate",120.8555,53.85650364569763,0.4456273984377351
SKU0020,"BrandB Energy drink",53.4786,23.88331933584666,0.4465957465003947
SKU0002,"BrandB Soda",70.0200,31.356056008398497,0.4478157099171451
SKU0014,"BrandB Water",61.2999,27.46084485211004,0.44797529793563007
SKU0009,"BrandC Juice",61.3456,27.577603521346404,0.44954478015813565
SKU0015,"BrandC Water",11.7582,5.3259999691983,0.4529597457379783
SKU0003,"BrandC Soda",23.0480,10.477829312586119,0.4546083263709894
SKU0008,"BrandB Juice",25.3445,11.597727067235237,0.45760376255020746
SKU0024,"BrandF Energy drink",58.1637,26.92490244565914,0.462915926597757
SKU0098,"BrandB Toothpaste",47.9329,22.978799401003037,0.4793949597247128
SKU0054,"BrandF Yogurt",94.4814,45.55632363747036,0.48217250459983374
SKU0066,"BrandF Cheese",32.9575,16.144475968545063,0.4898575294655242
SKU0074,"BrandB Softener",64.7053,31.701688989090204,0.48993939662889036
SKU0091,"BrandA Soap",21.0838,10.335647076708797,0.49021846111273987
SKU0069,"BrandC Detergent",85.8908,42.30287094232371,0.4925192195891595
SKU0079,"BrandA Cleaner",92.4489,45.58858657872962,0.49312222286514323
SKU0077,"BrandE Softener",65.5226,32.31446786880453,0.49318081146969894
SKU0029,"BrandE Chips",32.5777,16.143827931419807,0.4955478209108401
SKU0046,"BrandD Nuts",91.8086,45.71902430967816,0.4979821996887294
SKU0048,"BrandF Nuts",66.7160,33.23583088208038,0.49816895469057404
