sku_id,sku_name,category,total_units_sold,total_net_sales,average_margin_pct
SKU0050,"BrandB Yogurt",Dairy,187510,255013.60000000236,0.39981178082191826
SKU0073,"BrandA Softener","Home Care",89626,447233.73999999673,0.4000260127931782
SKU0042,"BrandF Biscuits",Snacks,85241,479906.8300000007,0.3990455098934547
SKU0029,"BrandE Chips",Snacks,285381,602289.4099999968,0.36560616438356086
SKU0075,"BrandC Softener","Home Care",358241,616174.519999995,0.399867671232877
SKU0030,"BrandF Chips",Snacks,426324,694908.1200000008,0.39935114155251156
SKU0055,"BrandA Milk",Dairy,182509,766537.8000000005,0.400515753424659
SKU0003,"BrandC Soda",Beverages,252376,802555.6800000027,0.39912840182648535
SKU0065,"BrandE Cheese",Dairy,821473,847938.8500000028,0.3626359969558593
SKU0091,"BrandA Soap","Personal Care",161607,872478.8099999976,0.36207031963470215
